identity_id;user_id;changed;del;standard;name;organization;email;reply-to;bcc;signature;html_signature
82;82;2014-04-21 15:26:09.0;0;1;*;*;*;*;*;NULL;0
83;83;2014-09-22 16:01:19.0;0;1;*;*;*;*;*;NULL;0
84;76;2014-10-10 10:57:49.0;0;0;*;*;*;*;*;NULL;0
85;76;2014-10-10 11:08:44.0;0;0;*;*;*;*;*;NULL;1
86;84;2015-01-20 17:08:14.0;0;1;*;*;*;*;*;NULL;0
87;85;2015-05-19 23:59:20.0;0;1;*;*;*;*;*;NULL;0
88;86;2015-05-21 15:54:53.0;0;1;*;*;*;*;*;NULL;0
89;76;2015-05-24 00:16:21.0;0;0;*;*;*;*;*;NULL;0
90;76;2015-06-03 11:33:37.0;0;0;*;*;*;*;*;NULL;0
91;87;2015-06-24 01:39:07.0;0;1;*;*;*;*;*;NULL;0
92;88;2015-07-05 02:15:03.0;0;1;*;*;*;*;*;NULL;0
93;89;2015-09-04 21:48:42.0;0;1;*;*;*;*;*;NULL;0
94;90;2015-09-25 15:07:26.0;0;1;*;*;*;*;*;NULL;0
95;91;2015-11-23 22:58:40.0;0;1;*;*;*;*;*;NULL;0
96;92;2016-01-12 17:38:13.0;0;1;*;*;*;*;*;NULL;0
97;93;2016-02-11 13:56:31.0;0;1;*;*;*;*;*;NULL;0
98;94;2016-09-08 18:06:25.0;0;1;*;*;*;*;*;NULL;0
99;95;2016-03-31 02:06:19.0;0;1;*;*;*;*;*;NULL;0
100;96;2016-04-05 14:56:23.0;0;1;*;*;*;*;*;NULL;0
101;97;2016-04-22 09:24:48.0;0;1;*;*;*;*;*;NULL;0
102;98;2016-04-27 12:45:47.0;0;1;*;*;*;*;*;NULL;0
103;99;2016-01-14 16:59:29.0;0;1;*;*;*;*;*;NULL;0
104;100;2015-06-06 09:47:58.0;0;1;*;*;*;*;*;NULL;0
105;101;2015-07-13 10:17:42.0;0;1;*;*;*;*;*;NULL;0
106;102;2015-07-13 10:18:53.0;0;1;*;*;*;*;*;NULL;0
107;103;2015-07-13 10:20:23.0;0;1;*;*;*;*;*;NULL;0
108;104;2013-08-21 01:17:21.0;0;1;*;*;*;*;*;NULL;0
109;105;2013-08-21 12:11:26.0;0;1;*;*;*;*;*;NULL;0
110;106;2013-09-17 14:17:47.0;0;1;*;*;*;*;*;NULL;0
111;107;2013-10-25 15:13:27.0;0;1;*;*;*;*;*;NULL;0
112;108;2014-01-07 14:09:13.0;0;1;*;*;*;*;*;NULL;0
113;109;2014-02-04 14:37:36.0;0;1;*;*;*;*;*;NULL;0
114;110;2014-02-18 14:26:29.0;0;1;*;*;*;*;*;NULL;0
115;111;2014-02-19 18:19:30.0;0;1;*;*;*;*;*;NULL;0
116;112;2014-04-09 14:55:24.0;0;1;*;*;*;*;*;NULL;0
117;113;2014-04-15 12:32:15.0;0;1;*;*;*;*;*;NULL;0
118;114;2014-04-15 12:34:26.0;0;1;*;*;*;*;*;NULL;0
119;115;2014-05-15 16:31:26.0;0;1;*;*;*;*;*;NULL;0
120;116;2014-06-26 15:23:17.0;0;1;*;*;*;*;*;NULL;0
121;117;2014-06-29 01:21:40.0;0;1;*;*;*;*;*;NULL;0
122;118;2014-08-04 17:24:50.0;0;1;*;*;*;*;*;NULL;0
123;119;2014-08-06 14:59:24.0;0;1;*;*;*;*;*;NULL;0
124;120;2014-08-11 13:51:28.0;0;1;*;*;*;*;*;NULL;0
125;121;2015-01-21 15:54:58.0;0;1;*;*;*;*;*;NULL;0
126;122;2015-02-05 14:20:50.0;0;1;*;*;*;*;*;NULL;0
127;123;2015-03-27 14:30:39.0;0;1;*;*;*;*;*;NULL;0
128;124;2015-05-19 10:12:34.0;0;1;*;*;*;*;*;NULL;0
129;125;2015-05-26 16:52:24.0;0;1;*;*;*;*;*;NULL;0
130;126;2015-09-15 15:21:51.0;0;1;*;*;*;*;*;NULL;0
131;127;2015-09-15 15:22:51.0;0;1;*;*;*;*;*;NULL;0
132;128;2015-09-15 15:26:53.0;0;1;*;*;*;*;*;NULL;0
133;129;2015-09-17 09:16:44.0;0;1;*;*;*;*;*;NULL;0
134;130;2015-09-17 09:19:34.0;0;1;*;*;*;*;*;NULL;0
135;131;2015-09-17 09:20:04.0;0;1;*;*;*;*;*;NULL;0
136;132;2015-09-17 11:24:47.0;0;1;*;*;*;*;*;NULL;0
137;133;2015-09-17 11:28:16.0;0;1;*;*;*;*;*;NULL;0
138;134;2015-09-17 11:30:47.0;0;1;*;*;*;*;*;NULL;0
139;135;2015-09-17 11:32:30.0;0;1;*;*;*;*;*;NULL;0
140;136;2015-09-17 11:48:59.0;0;1;*;*;*;*;*;NULL;0
141;137;2015-09-17 11:52:23.0;0;1;*;*;*;*;*;NULL;0
142;138;2015-09-17 11:55:29.0;0;1;*;*;*;*;*;NULL;0
143;139;2015-09-17 11:56:41.0;0;1;*;*;*;*;*;NULL;0
144;140;2015-09-17 12:09:00.0;0;1;*;*;*;*;*;NULL;0
145;141;2015-09-17 14:07:46.0;0;1;*;*;*;*;*;NULL;0
146;142;2015-09-19 11:56:52.0;0;1;*;*;*;*;*;NULL;0
147;143;2015-09-19 15:34:56.0;0;1;*;*;*;*;*;NULL;0
148;144;2015-09-21 13:48:32.0;0;1;*;*;*;*;*;NULL;0
149;145;2015-09-21 15:10:49.0;0;1;*;*;*;*;*;NULL;0
150;146;2015-10-06 10:17:11.0;0;1;*;*;*;*;*;NULL;0
151;147;2015-10-12 16:08:51.0;0;1;*;*;*;*;*;NULL;0
152;148;2015-10-20 17:47:31.0;0;1;*;*;*;*;*;NULL;0
153;149;2015-10-29 10:03:36.0;0;1;*;*;*;*;*;NULL;0
154;150;2016-01-04 10:00:31.0;0;1;*;*;*;*;*;NULL;0
155;151;2016-02-23 16:27:56.0;0;1;*;*;*;*;*;NULL;0
156;152;2014-01-27 13:36:20.0;0;1;*;*;*;*;*;NULL;0
157;153;2017-03-06 16:31:15.0;0;1;*;*;*;*;*;NULL;0
158;154;2014-01-27 13:38:30.0;0;1;*;*;*;*;*;NULL;0
159;154;2017-02-22 12:58:23.0;0;0;*;*;*;*;*;NULL;0
160;155;2014-03-31 14:52:37.0;0;1;*;*;*;*;*;NULL;0
161;156;2014-02-12 18:39:43.0;0;1;*;*;*;*;*;NULL;0
162;157;2014-03-04 11:53:56.0;0;1;*;*;*;*;*;NULL;0
163;158;2014-04-11 17:04:55.0;0;1;*;*;*;*;*;NULL;0
164;159;2014-06-11 18:21:08.0;0;1;*;*;*;*;*;NULL;0
165;160;2014-07-11 12:19:30.0;0;1;*;*;*;*;*;NULL;0
166;161;2014-07-11 12:32:11.0;0;1;*;*;*;*;*;NULL;0
167;162;2017-01-31 12:39:54.0;0;1;*;*;*;*;*;NULL;1
168;163;2016-11-03 15:43:31.0;0;1;*;*;*;*;*;NULL;1
169;164;2015-08-27 12:20:22.0;0;1;*;*;*;*;*;NULL;0
170;165;2015-09-29 10:43:25.0;0;1;*;*;*;*;*;NULL;0
171;166;2017-02-23 11:45:30.0;0;1;*;*;*;*;*;NULL;1
172;167;2015-06-03 11:31:13.0;0;1;*;*;*;*;*;NULL;0
